	Facies	Formation	Well Name	Depth	GR	ILD_log10	DeltaPHI	PHIND	PE	NM_M	RELPOS
75	6	A1 LM	SHRIMPLIN	2830.5	45.9621236428	1.076	3.6387761802	6.25168993775	6.19902894101	2	0.352
76	6	A1 LM	SHRIMPLIN	2831.0	32.7421236428	1.071	3.0387761802	6.22668993775	5.79902894101	2	0.333
77	6	A1 LM	SHRIMPLIN	2831.5	37.8021236428	1.058	3.6387761802	6.19168993775	5.69902894101	2	0.315
78	6	A1 LM	SHRIMPLIN	2832.0	40.7121236428	1.038	2.3387761802	6.37668993775	5.49902894101	2	0.296
79	6	A1 LM	SHRIMPLIN	2832.5	33.4021236428	1.005	2.2387761802	6.61168993775	5.39902894101	2	0.278
80	6	A1 LM	SHRIMPLIN	2833.0	32.0621236428	0.968	2.2387761802	7.35668993775	5.29902894101	2	0.259
81	6	A1 LM	SHRIMPLIN	2833.5	33.8021236428	0.943	2.1387761802	8.33168993775	4.89902894101	2	0.241
82	6	A1 LM	SHRIMPLIN	2834.0	45.5521236428	0.924	1.1387761802	8.84168993775	4.69902894101	2	0.222
83	6	A1 LM	SHRIMPLIN	2834.5	53.9321236428	0.9	1.9387761802	8.12668993775	4.59902894101	2	0.204
84	6	A1 LM	SHRIMPLIN	2835.0	59.4021236428	0.875	4.3387761802	7.84668993775	4.59902894101	2	0.185
85	6	A1 LM	SHRIMPLIN	2835.5	68.4121236428	0.854	8.3387761802	8.66668993775	4.79902894101	2	0.167
86	6	A1 LM	SHRIMPLIN	2836.0	75.8621236428	0.849	11.0387761802	10.0416899377	4.59902894101	2	0.148
87	6	A1 LM	SHRIMPLIN	2836.5	77.7321236428	0.864	11.3387761802	10.8516899377	4.69902894101	2	0.13
88	6	A1 LM	SHRIMPLIN	2837.0	80.9121236428	0.907	9.6387761802	9.81668993775	4.59902894101	2	0.111
89	6	A1 LM	SHRIMPLIN	2837.5	72.9021236428	0.932	7.3387761802	7.47668993775	4.69902894101	2	0.093
90	6	A1 LM	SHRIMPLIN	2838.0	65.5721236428	0.92	5.7387761802	5.26668993775	4.99902894101	2	0.074
91	6	A1 LM	SHRIMPLIN	2838.5	64.6921236428	0.886	3.6387761802	4.04668993775	5.39902894101	2	0.056
92	6	A1 LM	SHRIMPLIN	2839.0	60.7721236428	0.829	2.9387761802	4.36168993775	5.49902894101	2	0.037
93	6	A1 LM	SHRIMPLIN	2839.5	78.5321236428	0.754	2.0387761802	9.79668993775	5.69902894101	2	0.019
94	3	B1 SH	SHRIMPLIN	2840.0	107.752123643	0.713	1.8387761802	19.5466899377	3.99902894101	1	1.0
95	3	B1 SH	SHRIMPLIN	2840.5	110.852123643	0.686	6.0387761802	26.6516899377	3.29902894101	1	0.974
96	3	B1 SH	SHRIMPLIN	2841.0	106.312123643	0.665	8.6387761802	26.9416899377	2.79902894101	1	0.949
97	3	B1 SH	SHRIMPLIN	2841.5	87.8321236428	0.64	9.6387761802	21.7716899377	2.69902894101	1	0.923
98	3	B1 SH	SHRIMPLIN	2842.0	80.9421236428	0.601	9.0387761802	15.9916899377	2.89902894101	1	0.897
99	2	B1 SH	SHRIMPLIN	2842.5	66.9221236428	0.568	11.2387761802	12.5666899377	3.49902894101	1	0.872
100	2	B1 SH	SHRIMPLIN	2843.0	61.4621236428	0.561	12.0387761802	11.6916899377	4.19902894101	1	0.846
101	2	B1 SH	SHRIMPLIN	2843.5	58.2421236428	0.568	12.4387761802	12.2866899377	4.19902894101	1	0.821
102	2	B1 SH	SHRIMPLIN	2844.0	51.2921236428	0.585	12.7387761802	11.7366899377	3.89902894101	1	0.795
103	2	B1 SH	SHRIMPLIN	2844.5	67.9021236428	0.583	13.2387761802	11.7316899377	3.89902894101	1	0.769
104	2	B1 SH	SHRIMPLIN	2845.0	67.7521236428	0.566	14.1387761802	12.4766899377	3.89902894101	1	0.744
105	2	B1 SH	SHRIMPLIN	2845.5	67.7121236428	0.543	14.4387761802	13.0966899377	3.79902894101	1	0.718
106	2	B1 SH	SHRIMPLIN	2846.0	68.8321236428	0.516	12.1387761802	13.3516899377	3.69902894101	1	0.692
107	2	B1 SH	SHRIMPLIN	2846.5	73.1821236428	0.496	9.7387761802	15.1216899377	3.59902894101	1	0.667
108	3	B1 SH	SHRIMPLIN	2847.0	84.4421236428	0.486	6.1387761802	20.4816899377	3.59902894101	1	0.641
109	3	B1 SH	SHRIMPLIN	2847.5	96.9421236428	0.483	7.0387761802	23.2266899377	3.39902894101	1	0.615
110	3	B1 SH	SHRIMPLIN	2848.0	95.5221236428	0.486	9.4387761802	21.3066899377	3.49902894101	1	0.59
111	3	B1 SH	SHRIMPLIN	2848.5	88.6521236428	0.493	13.2387761802	17.2366899377	3.39902894101	1	0.564
112	3	B1 SH	SHRIMPLIN	2849.0	88.5221236428	0.501	13.1387761802	16.7116899377	3.49902894101	1	0.538
113	3	B1 SH	SHRIMPLIN	2849.5	92.2021236428	0.501	11.2387761802	18.6766899377	3.49902894101	1	0.513
114	2	B1 SH	SHRIMPLIN	2850.0	89.6521236428	0.491	4.9387761802	20.4066899377	3.29902894101	1	0.487
115	2	B1 SH	SHRIMPLIN	2850.5	91.1521236428	0.47	2.2387761802	20.3016899377	3.09902894101	1	0.462
116	2	B1 SH	SHRIMPLIN	2851.0	83.6021236428	0.435	5.1387761802	17.1616899377	2.79902894101	1	0.436
117	2	B1 SH	SHRIMPLIN	2851.5	84.9821236428	0.401	8.3387761802	15.8716899377	2.79902894101	1	0.41
118	2	B1 SH	SHRIMPLIN	2852.0	77.6821236428	0.371	7.5387761802	16.8516899377	2.89902894101	1	0.385
119	2	B1 SH	SHRIMPLIN	2852.5	74.2721236428	0.334	6.1387761802	17.3016899377	2.89902894101	1	0.359
120	2	B1 SH	SHRIMPLIN	2853.0	70.1921236428	0.307	5.4387761802	17.5716899377	2.89902894101	1	0.333
121	2	B1 SH	SHRIMPLIN	2853.5	76.3621236428	0.297	4.7387761802	17.1966899377	2.99902894101	1	0.308
122	2	B1 SH	SHRIMPLIN	2854.0	76.2621236428	0.301	4.4387761802	16.4166899377	2.99902894101	1	0.282
123	2	B1 SH	SHRIMPLIN	2854.5	69.0221236428	0.314	4.1387761802	14.1916899377	3.19902894101	1	0.256
124	2	B1 SH	SHRIMPLIN	2855.0	78.0921236428	0.338	5.8387761802	13.2516899377	3.39902894101	1	0.231
125	3	B1 SH	SHRIMPLIN	2855.5	84.1621236428	0.377	6.8387761802	15.7216899377	3.79902894101	1	0.205
126	3	B1 SH	SHRIMPLIN	2856.0	85.8321236428	0.428	6.6387761802	20.0466899377	3.49902894101	1	0.179
127	3	B1 SH	SHRIMPLIN	2856.5	89.5821236428	0.47	4.4387761802	20.4566899377	3.29902894101	1	0.154
128	3	B1 SH	SHRIMPLIN	2857.0	80.5921236428	0.509	3.6387761802	16.7816899377	3.09902894101	1	0.128
129	3	B1 SH	SHRIMPLIN	2857.5	79.3421236428	0.539	7.5387761802	11.7816899377	3.29902894101	1	0.103
130	3	B1 SH	SHRIMPLIN	2858.0	83.0321236428	0.548	8.1387761802	14.5466899377	3.69902894101	1	0.077
131	3	B1 SH	SHRIMPLIN	2858.5	94.9821236428	0.556	9.2387761802	23.8316899377	3.59902894101	1	0.051
132	5	B1 LM	SHRIMPLIN	2859.0	85.0221236428	0.629	6.4387761802	26.6716899377	3.09902894101	2	1.0
133	5	B1 LM	SHRIMPLIN	2859.5	46.1621236428	0.668	4.3387761802	16.6116899377	3.09902894101	2	0.944
134	5	B1 LM	SHRIMPLIN	2860.0	34.5121236428	0.703	4.9387761802	8.22168993775	3.49902894101	2	0.889
135	5	B1 LM	SHRIMPLIN	2860.5	35.1721236428	0.744	7.9387761802	4.71168993775	4.59902894101	2	0.833
136	8	B1 LM	SHRIMPLIN	2861.0	27.8321236428	0.803	7.8387761802	4.24168993775	4.79902894101	2	0.778
137	8	B1 LM	SHRIMPLIN	2861.5	23.4621236428	0.913	6.0387761802	4.22168993775	4.69902894101	2	0.722
138	8	B1 LM	SHRIMPLIN	2862.0	20.4021236428	1.031	5.0387761802	3.78668993775	4.59902894101	2	0.667
139	8	B1 LM	SHRIMPLIN	2862.5	20.5321236428	1.147	4.1387761802	3.14668993775	5.09902894101	2	0.611
140	8	B1 LM	SHRIMPLIN	2863.0	19.9721236428	1.292	4.7387761802	2.19668993775	5.39902894101	2	0.556
141	8	B1 LM	SHRIMPLIN	2863.5	21.1621236428	1.405	5.2387761802	1.59168993775	5.89902894101	2	0.5
142	8	B1 LM	SHRIMPLIN	2864.0	18.6121236428	1.452	4.7387761802	1.75668993775	6.09902894101	2	0.444
143	6	B1 LM	SHRIMPLIN	2864.5	29.3921236428	1.465	4.2387761802	2.36168993775	5.99902894101	2	0.389
144	6	B1 LM	SHRIMPLIN	2865.0	43.0721236428	1.48	3.1387761802	3.11168993775	5.79902894101	2	0.333
145	6	B1 LM	SHRIMPLIN	2865.5	48.9321236428	1.479	4.2387761802	2.95168993775	5.59902894101	2	0.278
146	6	B1 LM	SHRIMPLIN	2866.0	45.8221236428	1.437	4.1387761802	3.03168993775	5.59902894101	2	0.222
147	6	B1 LM	SHRIMPLIN	2866.5	45.0221236428	1.36	4.2387761802	3.02168993775	5.69902894101	2	0.167
148	6	B1 LM	SHRIMPLIN	2867.0	42.9021236428	1.249	3.6387761802	3.44668993775	5.69902894101	2	0.111
149	6	B1 LM	SHRIMPLIN	2867.5	53.0921236428	1.104	3.3387761802	4.09668993775	5.89902894101	2	0.056
150	3	B2 SH	SHRIMPLIN	2868.0	67.5321236428	0.966	4.2387761802	5.13168993775	5.09902894101	1	1.0
151	3	B2 SH	SHRIMPLIN	2868.5	73.9721236428	0.862	6.1387761802	7.84168993775	4.59902894101	1	0.964
152	3	B2 SH	SHRIMPLIN	2869.0	83.0721236428	0.806	9.4387761802	11.2016899377	3.89902894101	1	0.929
153	3	B2 SH	SHRIMPLIN	2869.5	97.2621236428	0.763	10.5387761802	13.9716899377	3.59902894101	1	0.893
154	2	B2 SH	SHRIMPLIN	2870.0	95.1421236428	0.714	9.6387761802	12.9616899377	3.39902894101	1	0.857
155	2	B2 SH	SHRIMPLIN	2870.5	79.8621236428	0.661	8.6387761802	10.4266899377	3.29902894101	1	0.821
156	2	B2 SH	SHRIMPLIN	2871.0	76.3621236428	0.602	8.9387761802	8.78668993775	3.49902894101	1	0.786
157	2	B2 SH	SHRIMPLIN	2871.5	75.6621236428	0.561	11.4387761802	10.3066899377	3.59902894101	1	0.75
158	2	B2 SH	SHRIMPLIN	2872.0	84.5721236428	0.537	13.4387761802	13.7466899377	3.89902894101	1	0.714
159	3	B2 SH	SHRIMPLIN	2872.5	103.412123643	0.525	14.6387761802	16.6616899377	3.89902894101	1	0.679
160	3	B2 SH	SHRIMPLIN	2873.0	103.392123643	0.522	14.7387761802	17.6266899377	3.89902894101	1	0.643
161	3	B2 SH	SHRIMPLIN	2873.5	99.2521236428	0.52	13.0387761802	16.2466899377	3.79902894101	1	0.607
162	3	B2 SH	SHRIMPLIN	2874.0	92.9221236428	0.516	12.1387761802	14.8516899377	3.69902894101	1	0.571
163	3	B2 SH	SHRIMPLIN	2874.5	92.8821236428	0.507	11.4387761802	13.2716899377	3.79902894101	1	0.536
164	3	B2 SH	SHRIMPLIN	2875.0	80.3021236428	0.504	11.0387761802	12.4816899377	3.69902894101	1	0.5
165	2	B2 SH	SHRIMPLIN	2875.5	83.6121236428	0.512	10.1387761802	11.5266899377	3.99902894101	1	0.464
166	2	B2 SH	SHRIMPLIN	2876.0	67.7921236428	0.529	9.4387761802	11.3116899377	4.09902894101	1	0.429
167	2	B2 SH	SHRIMPLIN	2876.5	67.8621236428	0.559	9.7387761802	10.8666899377	4.29902894101	1	0.393
168	2	B2 SH	SHRIMPLIN	2877.0	64.3721236428	0.589	8.4387761802	10.3666899377	4.39902894101	1	0.357
169	2	B2 SH	SHRIMPLIN	2877.5	61.9721236428	0.604	6.9387761802	9.38668993775	4.39902894101	1	0.321
170	2	B2 SH	SHRIMPLIN	2878.0	62.4821236428	0.604	5.5387761802	8.53168993775	4.29902894101	1	0.286
171	2	B2 SH	SHRIMPLIN	2878.5	58.6221236428	0.58	5.3387761802	8.60168993775	4.19902894101	1	0.25
172	2	B2 SH	SHRIMPLIN	2879.0	64.0221236428	0.543	5.7387761802	9.98168993775	3.99902894101	1	0.214
173	2	B2 SH	SHRIMPLIN	2879.5	78.7821236428	0.519	5.4387761802	13.7466899377	3.69902894101	1	0.179
174	3	B2 SH	SHRIMPLIN	2880.0	78.8621236428	0.502	2.0387761802	21.8866899377	3.69902894101	1	0.143
175	3	B2 SH	SHRIMPLIN	2880.5	86.8621236428	0.5	-3.7612238198	33.7916899377	3.19902894101	1	0.107
176	3	B2 SH	SHRIMPLIN	2881.0	83.9521236428	0.519	-1.9612238198	37.4716899377	2.99902894101	1	0.071
177	3	B2 SH	SHRIMPLIN	2881.5	69.9921236428	0.543	-4.2612238198	31.5716899377	2.79902894101	1	0.036
178	7	B2 LM	SHRIMPLIN	2882.0	50.6821236428	0.567	1.6387761802	16.0416899377	2.89902894101	2	1.0
179	7	B2 LM	SHRIMPLIN	2882.5	30.7921236428	0.601	1.9387761802	5.72668993775	3.59902894101	2	0.938
180	7	B2 LM	SHRIMPLIN	2883.0	17.3321236428	0.656	4.2387761802	2.73168993775	4.99902894101	2	0.875
181	8	B2 LM	SHRIMPLIN	2883.5	17.5321236428	0.747	4.7387761802	2.92668993775	5.79902894101	2	0.813
182	8	B2 LM	SHRIMPLIN	2884.0	18.1721236428	0.855	5.6387761802	3.28668993775	6.19902894101	2	0.75
183	8	B2 LM	SHRIMPLIN	2884.5	17.0621236428	0.982	5.4387761802	3.99168993775	6.29902894101	2	0.688
184	8	B2 LM	SHRIMPLIN	2885.0	15.8621236428	1.107	5.5387761802	4.34168993775	6.19902894101	2	0.625
185	8	B2 LM	SHRIMPLIN	2885.5	20.3621236428	1.17	5.0387761802	4.64668993775	5.89902894101	2	0.563
186	8	B2 LM	SHRIMPLIN	2886.0	24.9121236428	1.173	5.1387761802	4.77168993775	5.79902894101	2	0.5
187	8	B2 LM	SHRIMPLIN	2886.5	28.5521236428	1.15	4.5387761802	4.72668993775	5.79902894101	2	0.438
188	8	B2 LM	SHRIMPLIN	2887.0	34.5221236428	1.115	5.0387761802	4.36668993775	5.69902894101	2	0.375
189	8	B2 LM	SHRIMPLIN	2887.5	42.3221236428	1.064	5.3387761802	4.40168993775	5.69902894101	2	0.313
190	8	B2 LM	SHRIMPLIN	2888.0	44.1921236428	1.008	5.5387761802	4.86168993775	5.49902894101	2	0.25
191	6	B2 LM	SHRIMPLIN	2888.5	44.1321236428	0.943	4.1387761802	5.47168993775	5.59902894101	2	0.188
192	6	B2 LM	SHRIMPLIN	2889.0	39.2321236428	0.88	3.9387761802	5.90668993775	5.59902894101	2	0.125
193	6	B2 LM	SHRIMPLIN	2889.5	38.3521236428	0.812	5.7387761802	7.13168993775	5.39902894101	2	0.063
194	2	B3 SH	SHRIMPLIN	2890.0	60.6121236428	0.74	9.1387761802	9.33168993775	4.69902894101	1	1.0
195	2	B3 SH	SHRIMPLIN	2890.5	83.6721236428	0.684	12.4387761802	11.3116899377	3.99902894101	1	0.967
196	2	B3 SH	SHRIMPLIN	2891.0	87.2821236428	0.648	13.7387761802	11.9766899377	3.59902894101	1	0.933
197	2	B3 SH	SHRIMPLIN	2891.5	89.0521236428	0.619	13.7387761802	12.0666899377	3.59902894101	1	0.9
198	2	B3 SH	SHRIMPLIN	2892.0	91.0421236428	0.584	12.9387761802	12.2116899377	3.69902894101	1	0.867
199	2	B3 SH	SHRIMPLIN	2892.5	98.3521236428	0.559	12.0387761802	12.4866899377	3.69902894101	1	0.833
200	2	B3 SH	SHRIMPLIN	2893.0	87.0821236428	0.548	11.3387761802	12.2316899377	3.69902894101	1	0.8
201	2	B3 SH	SHRIMPLIN	2893.5	83.7921236428	0.542	10.9387761802	11.6716899377	3.49902894101	1	0.767
202	2	B3 SH	SHRIMPLIN	2894.0	83.0921236428	0.535	10.4387761802	11.9616899377	3.39902894101	1	0.733
203	2	B3 SH	SHRIMPLIN	2894.5	85.3821236428	0.529	11.1387761802	13.0516899377	3.29902894101	1	0.7
204	2	B3 SH	SHRIMPLIN	2895.0	86.8121236428	0.524	11.5387761802	13.7366899377	3.29902894101	1	0.667
205	2	B3 SH	SHRIMPLIN	2895.5	80.5221236428	0.515	11.2387761802	13.6016899377	3.29902894101	1	0.633
206	2	B3 SH	SHRIMPLIN	2896.0	77.6521236428	0.501	10.3387761802	12.9066899377	3.19902894101	1	0.6
207	2	B3 SH	SHRIMPLIN	2896.5	74.7221236428	0.489	8.9387761802	12.5766899377	3.29902894101	1	0.567
208	2	B3 SH	SHRIMPLIN	2897.0	75.0421236428	0.481	8.8387761802	12.3066899377	3.19902894101	1	0.533
209	2	B3 SH	SHRIMPLIN	2897.5	76.9621236428	0.477	8.3387761802	12.3516899377	3.19902894101	1	0.5
210	2	B3 SH	SHRIMPLIN	2898.0	79.5821236428	0.471	8.5387761802	12.8566899377	3.19902894101	1	0.467
211	2	B3 SH	SHRIMPLIN	2898.5	92.9321236428	0.467	8.6387761802	14.3016899377	3.29902894101	1	0.433
212	2	B3 SH	SHRIMPLIN	2899.0	94.2321236428	0.467	9.0387761802	14.2116899377	3.29902894101	1	0.4
213	2	B3 SH	SHRIMPLIN	2899.5	83.1021236428	0.467	9.1387761802	13.6416899377	3.29902894101	1	0.367
214	2	B3 SH	SHRIMPLIN	2900.0	75.0021236428	0.471	9.2387761802	12.5016899377	3.39902894101	1	0.333
215	2	B3 SH	SHRIMPLIN	2900.5	62.5921236428	0.48	8.7387761802	11.9216899377	3.29902894101	1	0.3
216	2	B3 SH	SHRIMPLIN	2901.0	68.4521236428	0.487	8.2387761802	11.6366899377	3.29902894101	1	0.267
217	2	B3 SH	SHRIMPLIN	2901.5	69.5621236428	0.484	7.3387761802	11.2666899377	3.29902894101	1	0.233
218	2	B3 SH	SHRIMPLIN	2902.0	76.0321236428	0.479	7.5387761802	11.3766899377	3.49902894101	1	0.2
219	2	B3 SH	SHRIMPLIN	2902.5	89.5121236428	0.471	8.4387761802	12.2866899377	3.49902894101	1	0.167
